,Alter bei Riss,Geburt,Liga,Name,Position,Rissdatum,Rissdatum dezimal,Saison,Verein,Verletzungszeit,Webseite
569,24,1987-05-17,jupiler-pro-league,Torben Joneleit,Innenverteidiger                            ,2011-08-27,2011.6493150684933,11,KRC Genk,218,https://www.transfermarkt.ch/torben-joneleit/verletzungen/spieler/42989
570,20,1988-12-01,torneo-final,Milton Caraglio,Mittelstürmer                            ,2009-05-10,2009.3561643835617,08,Club Atlético Rosario Central,184,https://www.transfermarkt.ch/milton-caraglio/verletzungen/spieler/55156
571,25,1987-01-26,super-league,Issaga Diallo,Innenverteidiger                            ,2012-04-05,2012.2602739726028,11,Servette FC,179,https://www.transfermarkt.ch/issaga-diallo/verletzungen/spieler/128047
572,21,1996-08-13,relegation-ligue-1,Simon Banza,Mittelstürmer                            ,2018-07-05,2018.5068493150684,18,RC Lens,279,https://www.transfermarkt.ch/simon-banza/verletzungen/spieler/344869
573,21,1991-01-07,laliga2,Dani Erencia,Innenverteidiger                            ,2012-02-12,2012.1150684931506,11,FC Girona,250,https://www.transfermarkt.ch/dani-erencia/verletzungen/spieler/211827
574,28,1989-05-14,regionalliga-west,Lokman Topduman,Mittelstürmer                            ,2018-04-01,2018.2493150684932,17,Transfermarkt,214,https://www.transfermarkt.ch/lokman-topduman/verletzungen/spieler/59788
575,20,1996-07-11,challenge-league,Léo Farine,Innenverteidiger                            ,2016-09-13,2016.6931506849314,16,Neuchâtel Xamax FCS,290,https://www.transfermarkt.ch/leo-farine/verletzungen/spieler/311687
576,26,1984-03-25,ligue-professionnelle-1,Radhouène Felhi,Innenverteidiger                            ,2010-11-28,2010.8986301369864,10,Etoile Sportive du Sahel,185,https://www.transfermarkt.ch/radhouene-felhi/verletzungen/spieler/63712
577,24,1987-04-16,laliga2,Ryan Harper,Mittelstürmer                            ,2011-10-09,2011.7643835616439,11,CD Guadalajara ,175,https://www.transfermarkt.ch/ryan-harper/verletzungen/spieler/134031
578,22,1987-01-02,premier-league,Rob Milsom,Zentrales Mittelfeld                            ,2009-08-01,2009.5780821917808,09,FC Fulham,199,https://www.transfermarkt.ch/rob-milsom/verletzungen/spieler/55851
579,26,1992-08-21,laliga,Johan Mojica,Linker Verteidiger                            ,2018-10-17,2018.786301369863,18,FC Girona,205,https://www.transfermarkt.ch/johan-mojica/verletzungen/spieler/262939
